"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API Тестирование","0","Объявления v1","12","0","Позитивные сценарии","0"
"0","API Тестирование","0","Статистика v2","3","2","Получение статистики","0"
"0","API Тестирование","0","Объявления v1","10","46","Негативные сценарии","0"
"0","API Тестирование","0","Статистика v1","4","1","Получение статистики","0"
"0","API Тестирование","0","Объявления v2","1","1","Негативные сценарии","0"
"0","API Тестирование","0","Объявления v2","2","0","Позитивные сценарии","0"
